"",0.0
"American (New), Irish Pub, Gastropubs",4.17633928571429
"American (New), Irish Pub, Pizza",2.85
"American (New), Irish Pub, Wine Bars",3.66666666666667
"American (New), Irish, Seafood",4.44927536231884
"American (New), Italian",3.9834849758951
"American (New), Italian, Bars",3.63420835947454
"American (New), Italian, Breakfast & Brunch",4.1826280623608
"American (New), Italian, Cocktail Bars",4.15623825975499
"American (New), Italian, Comfort Food",4.09496288095858
"American (New), Italian, Desserts",4.0
"American (New), Italian, Pizza",4.27188431956014
"American (New), Italian, Seafood",4.1558779058779
"American (New), Italian, Spanish",3.83870967741935
"American (New), Italian, Sports Bars",3.50869565217391
"American (New), Italian, Tapas/Small Plates",4.484375
"American (New), Italian, Vegetarian",4.24156791248861
"American (New), Italian, Wine Bars",4.14677964277239
"American (New), Japanese",4.53548387096774
"American (New), Japanese, Breakfast & Brunch",4.20598006644518
"American (New), Jazz & Blues",3.92936802973978
"American (New), Juice Bars & Smoothies",4.48367229484386
"American (New), Juice Bars & Smoothies, Breakfast & Brunch",4.32902182700081
"American (New), Juice Bars & Smoothies, Gluten-Free",4.61714651995085
"American (New), Juice Bars & Smoothies, Salad",0.0
"American (New), Karaoke, Dive Bars",3.64
"American (New), Karaoke, Venues & Event Spaces",3.94642857142857
"American (New), Korean",4.34472809383428
"American (New), Korean, Asian Fusion",4.39628482972136
"American (New), Kosher",4.0
"American (New), Latin American",3.75
"American (New), Latin American, Asian Fusion",4.11011904761905
"American (New), Latin American, Bars",4.40860215053763
"American (New), Latin American, Cocktail Bars",4.28394971944453
"American (New), Latin American, Dominican",5.0
"American (New), Latin American, Italian",3.48780487804878
"American (New), Latin American, Tapas/Small Plates",3.87992988606486
"American (New), Lounges",3.6336299323723
"American (New), Lounges, Beer, Wine & Spirits",4.20265780730897
"American (New), Lounges, Breakfast & Brunch",3.79267714647237
"American (New), Lounges, Cabaret",3.66317365269461
"American (New), Lounges, Cocktail Bars",3.65477943130481
"American (New), Lounges, Comfort Food",3.51961358313818
"American (New), Lounges, Desserts",3.91935483870968
"American (New), Lounges, Diners",3.59276018099548
"American (New), Lounges, Fondue",3.92119565217391
"American (New), Lounges, Gastropubs",4.03554502369668
"American (New), Lounges, Gluten-Free",4.05875194017215
"American (New), Lounges, Italian",3.07051282051282
"American (New), Lounges, Karaoke",3.52941176470588
"American (New), Lounges, Music Venues",3.9375
"American (New), Lounges, Seafood",3.34459459459459
"American (New), Lounges, Sports Bars",2.86486486486486
"American (New), Lounges, Steakhouses",3.36781609195402
"American (New), Lounges, Sushi Bars",3.59217877094972
"American (New), Lounges, Venues & Event Spaces",3.64525897134593
"American (New), Lounges, Wine Bars",3.8260667903525
"American (New), Meat Shops, Caterers",4.27544910179641
"American (New), Mediterranean",3.87701941776082
"American (New), Mediterranean, American (Traditional)",4.6304347826087
"American (New), Mediterranean, Bars",4.22599871134021
"American (New), Mediterranean, Breakfast & Brunch",3.44444444444444
"American (New), Mediterranean, Comfort Food",4.41491841491842
"American (New), Mediterranean, Salad",0.0
"American (New), Mediterranean, Steakhouses",3.12658227848101
"American (New), Mediterranean, Tapas/Small Plates",4.05882352941176
"American (New), Mediterranean, Wine Bars",4.18905144615338
"American (New), Mediterranean, Wine Tasting Room",4.11829944547135
"American (New), Mexican",4.09435800814538
"American (New), Mexican, Beer Bar",3.75757575757576
"American (New), Mexican, Breakfast & Brunch",4.45157315932374
"American (New), Mexican, Italian",4.52631578947368
"American (New), Mexican, Sandwiches",4.75
"American (New), Mexican, Seafood",3.66666666666667
"American (New), Mexican, Sushi Bars",3.83742331288344
"American (New), Middle Eastern",4.3728813559322
"American (New), Middle Eastern, Modern European",3.79661016949153
"American (New), Modern European",4.33962945179913
"American (New), Music Venues, Cocktail Bars",3.87154150197628
"American (New), Music Venues, Gastropubs",3.97619047619048
"American (New), New Mexican Cuisine",4.12903225806452
"American (New), New Mexican Cuisine, Breakfast & Brunch",4.2
"American (New), Noodles",3.96590909090909
"American (New), Party & Event Planning",1.0
"American (New), Personal Chefs",5.0
"American (New), Peruvian, Beer Bar",3.88343558282209
"American (New), Pizza",3.81893544256065
"American (New), Pizza, Bars",3.87169312169312
"American (New), Pizza, Breakfast & Brunch",4.40157480314961
"American (New), Pizza, Breweries",2.94986402359109
"American (New), Pizza, Cocktail Bars",4.04737228959941
"American (New), Pizza, Indian",4.239651416122
"American (New), Pizza, Pubs",3.70531400966184
"American (New), Pizza, Salad",3.89888030179316
"American (New), Pizza, Sports Bars",4.05
"American (New), Pizza, Wine Bars",4.23310722801502
"American (New), Poke",4.13953488372093
"American (New), Poke, Fish & Chips",4.77319587628866
"American (New), Poke, Seafood",4.12080536912752
"American (New), Pop-Up Restaurants",4.8
"American (New), Pop-Up Restaurants, Chicken Shop",4.66666666666667
"American (New), Pubs",3.78789866871357
"American (New), Pubs, Barbeque",3.209375
"American (New), Pubs, Beer Bar",4.13645634499398
"American (New), Pubs, Breakfast & Brunch",3.96642534103705
"American (New), Pubs, Burgers",4.22637787198046
"American (New), Pubs, Cocktail Bars",4.33783783783784
"American (New), Pubs, Eatertainment",3.6448275862069
"American (New), Pubs, Gastropubs",4.08556547619048
"American (New), Pubs, Irish",4.13475177304965
"American (New), Pubs, Italian",2.91150442477876
"American (New), Pubs, Music Venues",3.12903225806452
"American (New), Pubs, Pizza",4.83333333333333
"American (New), Pubs, Salad",4.08695652173913
"American (New), Pubs, Sports Bars",3.15055467511886
"American (New), Pubs, Venues & Event Spaces",4.33333333333333
"American (New), Pubs, Wine Bars",4.02043596730245
"American (New), Salad",3.91886211833815
"American (New), Salad, Bars",3.90384615384615
"American (New), Salad, Breakfast & Brunch",4.11839619568758
"American (New), Salad, Burgers",4.00552952045548
"American (New), Salad, Caterers",4.8125
"American (New), Salad, Mediterranean",4.24347826086957
"American (New), Salad, Pizza",3.73504273504274
"American (New), Salad, Sandwiches",4.0694161794911
"American (New), Salad, Seafood",4.37607048748353
"American (New), Salad, Soup",4.23513513513513
"American (New), Salad, Vegetarian",4.39201451905626
"American (New), Sandwiches",3.55557771459025
"American (New), Sandwiches, Barbeque",3.14893617021277
"American (New), Sandwiches, Bars",3.77395964691047
"American (New), Sandwiches, Beer, Wine & Spirits",4.28919860627178
"American (New), Sandwiches, Breakfast & Brunch",3.97344069900534
"American (New), Sandwiches, Burgers",3.38477859228797
"American (New), Sandwiches, Cafes",4.5703125
